wrkstat,occ,prestige,wrkslf,occ80,prestg80,marital,agewed,divorce,widowed,spocc,sppres,spwrkslf,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,family16,income,rincome,size,polviews,natarms,natfare,eqwlth,russia,japan,england,china,relig,fund,attend,relig16,fund16,sprel,spfund,sprel16,spfund16,racseg,happy,hapmar,health,life,trust,satcity,sathobby,satfam,satfrnd,sathealt,jobinc,jobsec,jobhour,jobpromo,jobmeans,rank,fepol,fecare,abnomore,abpoor,absingle,chldmore,tvhours,memnum,year
5,680,40,2,0,0,1,23,2,0,280,34,2,67,12,97,98,12,1,7,0,1,1,1,3,3,5,8,0,3,4,3,2,7,9,8,3,4,2,2,7,2,2,2,2,2,2,0,2,1,0,0,2,2,2,2,2,4,0,0,0,0,0,0,1,0,2,1,1,2,4,0,83
7,925,36,2,0,0,1,17,1,0,761,26,2,73,7,0,0,8,0,0,0,0,2,1,2,3,1,6,0,3,5,2,2,1,2,8,0,3,1,2,3,1,2,1,2,1,2,0,2,2,0,0,1,2,5,3,4,1,0,0,0,0,0,0,2,0,2,2,1,2,5,0,83
2,330,41,2,0,0,2,24,2,0,0,0,0,64,12,97,4,97,1,7,0,7,2,1,3,3,5,8,3,3,0,2,3,4,9,2,7,2,1,2,2,1,2,0,0,0,0,0,1,0,0,0,0,3,2,2,2,4,0,0,0,0,0,7,2,1,2,2,8,2,2,1,83
7,403,36,2,0,0,5,0,0,0,0,0,0,74,10,3,3,97,0,0,0,7,1,1,3,3,1,5,0,3,5,3,3,4,6,2,1,5,2,2,0,2,2,0,0,0,0,0,1,0,0,0,1,3,4,5,4,4,0,0,0,0,0,0,1,0,8,8,2,2,4,3,83
7,362,36,2,0,0,2,21,2,0,0,0,0,62,12,98,98,97,1,0,0,7,2,1,3,3,1,13,0,9,0,2,2,4,5,3,4,4,2,2,8,2,2,0,0,0,0,0,2,0,0,0,0,5,2,2,1,2,0,0,0,0,0,3,2,1,2,2,2,2,4,2,83
1,245,50,1,0,0,1,23,2,0,245,50,1,35,14,97,12,14,2,7,1,1,2,1,3,3,5,11,0,9,0,1,3,4,9,4,1,3,2,2,7,2,2,2,2,2,2,0,1,2,0,0,0,2,1,1,2,2,0,0,0,0,0,3,1,1,2,2,2,2,3,3,83
2,910,20,2,0,0,5,0,0,0,0,0,0,18,11,12,12,97,0,1,1,7,2,1,3,3,1,98,1,9,6,3,3,6,6,2,2,3,2,2,2,2,2,0,0,0,0,0,2,0,0,0,2,3,2,1,1,3,0,0,0,0,0,0,1,0,2,2,2,1,1,3,83
7,395,36,2,0,0,1,18,2,0,705,28,1,62,13,10,10,14,1,0,8,2,2,1,3,3,1,10,0,9,0,3,3,3,8,2,1,2,2,2,8,1,2,2,2,2,2,0,2,2,0,0,0,2,2,2,2,2,0,0,0,0,0,4,1,2,1,2,1,2,2,4,83
7,75,62,2,0,0,2,28,2,0,0,0,0,81,12,97,8,97,1,7,0,7,2,1,2,4,5,98,0,9,2,2,2,1,9,-1,9,-1,1,2,4,1,2,0,0,0,0,0,3,0,0,0,2,1,4,7,3,5,0,0,0,0,0,0,2,0,2,2,2,2,1,3,83
7,331,42,2,0,0,2,26,2,0,0,0,0,89,5,5,98,97,0,0,0,7,1,1,2,3,2,9,0,9,2,2,2,4,8,2,0,2,2,2,7,2,2,0,0,0,0,0,2,0,0,0,1,1,7,1,2,9,0,0,0,0,0,0,1,0,2,2,1,2,1,2,83
1,922,48,2,0,0,5,0,0,0,0,0,0,25,14,16,13,97,2,3,1,7,1,1,5,3,1,9,7,9,6,3,3,1,9,1,0,2,2,2,8,2,2,0,0,0,0,0,1,0,0,0,1,3,2,2,3,1,0,0,0,0,0,0,2,0,2,2,2,1,2,1,83
7,245,50,1,0,0,2,20,2,0,0,0,0,66,14,98,98,97,1,0,0,7,2,1,2,3,1,9,0,9,5,1,2,5,7,5,2,6,1,3,6,1,2,0,0,0,0,0,2,0,0,0,1,2,2,3,2,4,0,0,0,0,0,0,2,0,1,1,1,2,3,3,83
4,430,49,2,0,0,1,32,2,0,925,36,2,59,12,0,8,12,1,0,0,1,1,1,1,3,1,12,12,9,0,3,1,1,8,7,1,6,2,2,7,2,2,2,2,2,2,0,2,1,0,0,0,3,3,3,4,6,0,0,0,0,0,5,1,2,2,8,2,2,1,6,83
7,305,48,2,0,0,2,18,2,0,0,0,0,84,8,3,5,97,0,0,0,7,2,1,3,3,1,9,0,9,5,2,2,4,7,5,1,4,1,2,8,1,2,0,0,0,0,0,2,0,0,0,1,3,2,2,2,4,0,0,0,0,0,0,1,0,2,1,2,2,3,6,83
1,245,50,2,0,0,4,19,0,0,0,0,0,40,16,14,12,97,3,2,1,7,1,1,3,4,1,12,12,9,0,2,3,7,4,9,0,7,1,2,2,1,2,0,0,0,0,0,1,0,0,0,0,2,2,5,2,2,0,0,0,0,0,4,2,4,1,1,1,2,0,4,83
7,142,60,2,0,0,2,26,2,0,0,0,0,83,14,98,98,97,1,0,0,7,2,1,3,3,1,4,0,9,3,2,3,1,6,4,4,4,1,2,7,1,2,0,0,0,0,0,1,0,0,0,2,1,1,2,4,2,0,0,0,0,0,0,2,0,2,2,2,2,1,2,83
7,215,41,2,0,0,2,18,2,0,0,0,0,65,10,7,7,97,0,0,0,7,2,1,2,5,1,9,0,3,5,2,2,7,7,3,0,2,1,2,5,1,2,0,0,0,0,0,2,0,0,0,2,1,6,2,2,2,0,0,0,0,0,0,2,0,2,2,2,2,1,0,83
1,443,29,1,0,0,1,19,2,0,962,22,2,58,7,98,98,8,0,0,0,0,2,1,1,5,1,9,6,3,0,2,3,8,9,6,2,6,1,1,2,1,1,1,1,1,1,0,2,2,0,0,0,4,5,2,3,3,0,0,0,0,0,8,1,3,2,2,2,2,1,0,83
1,681,29,2,0,0,1,27,2,0,663,25,2,35,12,98,98,8,1,0,0,0,1,1,1,5,1,12,10,3,6,1,3,5,9,9,0,9,1,2,3,1,2,1,1,1,1,0,1,1,0,0,2,4,3,1,2,1,0,0,0,0,0,0,1,0,9,9,9,3,6,0,83
1,663,25,2,0,0,1,17,2,0,903,16,2,47,11,98,98,6,1,0,0,0,2,1,2,5,1,8,6,3,0,1,3,3,7,2,2,3,1,1,5,1,2,1,1,1,2,0,3,3,0,0,0,3,3,2,2,2,0,0,0,0,0,5,1,1,2,2,2,2,2,0,83
4,590,47,1,0,0,4,23,0,0,0,0,0,36,13,9,8,97,1,0,0,7,1,1,1,5,1,11,9,3,0,1,3,1,9,0,0,4,1,1,0,1,1,0,0,0,0,0,3,0,0,0,0,4,7,1,1,1,0,0,0,0,0,8,2,1,2,2,2,2,12,2,83
2,755,23,2,0,0,5,0,0,0,0,0,0,21,13,12,97,97,1,1,7,7,1,1,1,5,6,10,4,8,4,3,1,4,3,3,4,5,1,1,7,1,1,0,0,0,0,0,2,0,0,0,1,1,2,1,2,2,0,0,0,0,0,0,2,0,2,2,2,1,6,3,83
5,280,34,2,0,0,1,19,2,0,305,48,2,69,11,98,98,14,1,8,8,1,1,1,3,5,1,9,0,8,2,1,3,4,8,4,0,4,1,3,5,1,2,1,3,1,3,0,1,1,0,0,2,2,2,2,2,4,0,0,0,0,0,0,1,0,1,1,1,2,3,2,83
7,671,29,2,0,0,1,18,2,0,715,32,2,47,12,98,98,10,1,0,0,1,2,1,3,5,1,12,0,8,0,1,3,3,6,3,2,3,1,1,7,1,1,1,1,1,1,0,1,1,0,0,0,2,1,1,1,2,0,0,0,0,0,3,2,4,2,2,2,2,2,3,83
1,321,36,2,0,0,5,0,0,0,0,0,0,29,16,18,97,97,3,4,7,7,1,1,3,1,4,9,9,8,4,2,3,3,8,5,4,8,1,2,4,1,2,0,0,0,0,0,2,0,0,0,2,4,2,6,3,2,0,0,0,0,0,0,1,0,1,1,1,1,2,3,83
7,982,25,2,0,0,1,25,2,0,215,41,2,49,8,8,8,11,0,0,0,1,2,1,3,0,1,10,0,8,0,1,3,1,9,9,8,0,1,2,3,2,2,1,2,1,2,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,5,1,1,2,2,2,2,4,2,83
7,925,36,2,0,0,3,20,0,0,0,0,0,74,9,8,8,97,0,0,0,7,2,1,1,6,1,4,0,8,4,1,3,2,7,1,-1,-1,1,1,8,1,2,0,0,0,0,0,1,0,0,0,2,1,2,1,1,2,0,0,0,0,0,0,1,0,2,8,8,2,6,3,83
1,412,33,2,0,0,1,17,1,0,76,37,2,26,10,97,12,12,0,7,1,1,1,1,1,5,5,12,11,8,0,3,3,1,5,5,1,9,1,1,2,1,1,1,3,1,3,0,1,1,0,0,0,3,1,2,2,3,0,0,0,0,0,6,2,2,2,2,2,2,2,1,83
7,912,26,2,0,0,1,33,2,0,433,39,2,66,9,3,3,4,0,0,0,0,2,1,2,5,1,8,0,1,0,3,3,1,4,4,4,-1,1,1,7,1,1,1,3,1,3,0,2,2,0,0,0,4,2,2,2,4,0,0,0,0,0,5,2,2,2,2,2,2,2,1,83
3,23,67,2,0,0,1,19,2,0,381,23,2,39,12,7,12,12,1,0,1,1,1,1,2,7,1,12,11,41,4,1,3,4,2,2,1,2,1,1,7,1,1,1,1,1,1,0,1,1,0,0,2,2,2,2,2,5,0,0,0,0,0,0,2,0,1,2,1,2,4,2,83
7,220,50,2,0,0,1,19,2,0,690,32,2,22,12,12,14,16,1,1,2,3,2,1,4,7,1,12,2,41,0,3,3,7,9,2,1,4,2,2,4,1,2,2,2,2,2,0,1,1,0,0,0,2,2,2,3,2,0,0,0,0,0,3,2,2,2,2,1,1,4,1,83
1,964,48,2,0,0,1,21,2,0,280,34,2,27,12,12,12,11,1,1,1,0,1,2,3,7,1,12,2,41,4,1,3,3,9,3,3,6,1,1,5,1,1,1,1,1,3,0,2,1,0,0,1,1,1,1,2,1,0,0,0,0,0,0,2,0,2,2,2,1,4,5,83
1,715,32,2,0,0,1,18,1,0,925,36,2,46,5,5,0,6,0,0,0,0,1,1,3,7,1,10,10,41,0,2,2,6,8,1,2,2,2,2,4,2,2,2,2,2,2,0,1,1,0,0,0,2,1,2,6,1,0,0,0,0,0,5,1,1,2,1,2,2,3,1,83
1,926,42,2,0,0,1,15,2,0,751,17,2,35,13,12,9,10,1,1,0,0,2,2,1,7,1,11,10,41,0,1,3,5,9,5,4,9,1,1,4,1,1,1,1,1,1,0,2,2,0,0,0,2,2,2,2,2,0,0,0,0,0,6,2,2,1,1,1,2,2,6,83
1,280,34,2,0,0,1,24,2,0,245,50,2,40,9,98,5,6,0,8,0,0,1,1,2,7,1,11,10,41,4,2,1,1,5,4,1,3,2,2,4,2,2,2,2,2,2,0,1,1,0,0,2,4,4,2,2,1,0,0,0,0,0,0,2,0,2,2,2,2,3,1,83
7,372,46,2,0,0,1,21,2,0,142,60,2,27,12,11,12,16,1,1,1,3,2,3,3,7,1,11,4,41,0,8,3,6,9,2,1,2,2,2,5,2,2,2,2,2,2,0,1,1,0,0,0,1,3,1,2,1,0,0,0,0,0,6,2,2,2,1,2,1,4,0,83
1,381,23,2,0,0,1,21,2,0,372,46,2,54,12,98,98,12,1,0,0,1,1,1,2,7,1,12,11,41,4,2,3,6,7,4,1,6,2,2,6,2,2,1,1,1,1,0,2,2,0,0,1,4,2,2,2,1,0,0,0,0,0,0,1,0,2,2,2,2,3,3,83
7,0,0,0,0,0,1,17,2,0,580,47,2,59,11,97,9,11,1,7,0,1,2,1,3,7,5,13,0,41,0,1,1,1,9,4,1,5,1,1,4,1,1,1,1,1,1,0,1,1,0,0,0,2,5,2,2,2,0,0,0,0,0,99,1,2,2,1,2,2,4,1,83
5,441,45,2,0,0,1,21,2,0,372,46,2,67,10,3,6,12,0,0,0,1,1,1,3,5,1,9,0,41,4,1,2,3,9,5,3,6,1,2,0,1,2,1,2,1,2,0,2,2,0,0,2,4,2,2,3,3,0,0,0,0,0,0,2,0,2,2,2,2,4,2,83
5,75,62,2,0,0,1,30,2,0,102,78,2,67,16,3,7,16,3,0,0,4,2,1,6,7,1,12,1,41,0,2,2,3,9,6,4,7,2,2,7,2,2,2,2,2,2,0,2,2,0,0,0,1,2,2,2,2,0,0,0,0,0,5,2,3,9,9,9,2,3,5,83
1,643,19,2,0,0,4,19,0,0,0,0,0,43,12,0,0,97,0,0,0,7,2,1,3,7,1,9,5,41,4,1,3,4,5,5,3,5,2,2,5,2,2,0,0,0,0,0,2,0,0,0,2,2,5,1,3,2,0,0,0,0,0,0,2,0,2,2,2,2,3,0,83
7,942,25,2,0,0,1,19,1,0,231,50,2,32,12,14,11,15,1,1,1,1,2,1,6,7,1,12,0,41,0,2,1,5,7,4,0,3,1,1,7,1,1,1,1,1,1,0,1,2,0,0,0,3,1,1,1,3,0,0,0,0,0,3,2,2,2,2,2,2,1,0,83
7,0,0,0,0,0,1,18,2,0,471,48,2,77,7,7,2,3,0,0,0,0,1,1,3,5,1,7,0,1,4,2,3,3,-1,-1,-1,-1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,2,3,1,1,2,0,0,0,0,0,0,1,0,2,2,2,2,2,1,83
7,663,25,2,0,0,1,21,2,0,690,32,2,40,10,4,12,10,0,0,1,0,2,1,3,6,2,9,0,1,4,2,2,4,4,4,4,4,1,1,8,1,1,1,1,1,1,0,2,2,0,0,2,4,4,2,2,4,0,0,0,0,0,0,1,0,2,2,2,2,1,1,83
2,663,25,2,0,0,5,0,0,0,0,0,0,45,12,11,10,97,0,0,0,7,1,2,2,6,1,5,5,1,0,2,3,1,6,-1,-1,-1,1,1,5,1,1,0,0,0,0,0,1,0,0,0,0,3,5,2,2,2,0,0,0,0,0,10,1,1,2,1,2,2,3,1,83
7,663,25,2,0,0,1,13,1,0,624,33,2,34,3,98,0,11,0,8,0,0,2,2,1,6,1,3,0,1,0,2,1,6,1,4,8,7,1,1,4,1,1,1,1,1,1,0,2,3,0,0,0,2,2,2,2,2,0,0,0,0,0,5,1,2,2,2,2,2,4,2,83
7,942,25,2,0,0,5,0,0,0,0,0,0,20,12,12,10,97,1,1,0,7,2,2,4,6,1,98,0,1,4,2,2,7,9,3,0,3,1,1,5,1,1,0,0,0,0,0,1,0,0,0,2,2,4,1,2,2,0,0,0,0,0,0,1,0,2,2,2,1,10,1,83
1,323,36,2,0,0,2,19,2,0,0,0,0,37,9,7,6,97,0,0,0,7,2,2,2,6,1,6,6,1,2,3,3,7,9,2,0,0,1,1,7,1,1,0,0,0,0,0,2,0,0,0,2,5,2,2,2,2,0,0,0,0,0,0,1,0,2,2,2,2,3,0,83
1,630,18,2,0,0,1,20,2,0,590,47,2,27,12,97,9,12,1,7,0,1,2,2,3,6,5,10,8,1,8,2,2,2,9,0,0,6,1,1,7,1,1,1,1,1,1,0,3,2,0,0,2,5,5,5,5,5,0,0,0,0,0,0,2,0,1,1,2,2,4,0,83
5,801,41,1,0,0,1,24,1,0,0,0,0,86,8,7,6,3,0,0,0,0,1,1,2,6,1,3,0,37,7,1,3,7,9,5,4,9,1,1,0,1,1,1,1,1,1,0,2,2,0,0,2,4,6,4,5,6,0,0,0,0,0,0,1,0,2,2,2,2,3,0,83
7,643,19,2,0,0,1,18,2,0,801,41,1,37,11,97,7,8,1,7,0,0,2,1,2,6,5,5,5,37,0,3,3,4,9,4,1,4,1,1,3,1,1,1,1,1,1,0,2,2,0,0,0,4,5,2,2,4,0,0,0,0,0,8,1,2,2,2,2,2,8,2,83
1,984,18,2,0,0,3,19,0,0,0,0,0,30,9,97,4,97,0,7,0,7,2,2,2,6,5,13,13,37,0,3,2,3,6,6,4,4,1,1,6,1,1,0,0,0,0,0,3,0,0,0,0,5,5,5,4,4,0,0,0,0,0,8,1,3,2,2,2,2,4,0,83
1,150,47,2,0,0,5,0,0,0,0,0,0,33,12,97,9,97,1,7,0,7,1,2,4,6,5,8,8,37,1,3,1,1,4,4,1,4,1,1,6,1,1,0,0,0,0,0,1,0,0,0,2,5,2,7,2,2,0,0,0,0,0,0,1,0,2,2,2,1,7,0,83
1,925,36,2,0,0,1,18,1,0,522,41,2,56,11,98,98,3,1,0,8,0,2,2,2,6,3,98,13,37,0,3,2,5,9,2,1,7,1,1,8,1,2,1,1,1,1,0,2,1,0,0,0,4,5,1,1,1,0,0,0,0,0,4,1,2,2,2,2,2,1,1,83
5,822,18,2,0,0,1,16,2,0,901,14,2,53,7,3,97,8,0,0,7,0,1,2,2,6,4,8,0,37,0,1,1,1,-1,-1,-1,-1,1,1,8,1,1,1,1,1,1,0,3,1,0,0,0,3,5,3,3,7,0,0,0,0,0,2,2,3,2,2,2,2,10,0,83
1,452,31,2,0,0,4,18,0,0,0,0,0,31,11,97,15,97,0,7,1,7,2,2,4,6,7,8,8,37,0,1,1,3,9,0,0,0,1,1,5,1,1,0,0,0,0,0,2,0,0,0,0,2,6,4,2,3,0,0,0,0,0,5,1,1,2,2,2,1,6,0,83
7,0,0,0,0,0,1,18,2,0,381,23,2,21,9,98,98,10,0,0,0,1,2,1,4,6,1,8,0,37,0,1,1,4,9,0,0,0,1,1,1,1,1,1,1,1,1,0,2,2,0,0,0,6,6,2,2,2,0,0,0,0,0,5,2,2,2,2,2,2,99,0,83
2,801,41,1,0,0,2,18,2,0,0,0,0,77,10,98,98,97,0,0,0,7,1,1,2,6,1,9,6,37,7,2,3,7,2,0,0,0,4,3,1,1,2,0,0,0,0,0,2,0,0,0,1,7,2,2,2,4,0,0,0,0,0,0,1,0,2,1,2,2,2,0,83
1,245,50,2,0,0,1,22,2,0,640,26,2,26,17,97,18,15,3,7,4,2,2,1,3,8,5,12,10,20,4,1,3,7,5,5,3,3,1,2,5,1,3,1,2,1,2,0,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,0,2,0,2,1,2,1,1,5,83
7,345,45,2,0,0,1,16,1,0,523,41,2,27,11,13,16,14,1,1,1,1,2,1,1,2,1,10,2,20,0,2,3,1,7,2,2,4,1,2,5,1,2,1,2,1,1,0,2,2,0,0,0,3,4,3,2,3,0,0,0,0,0,6,2,2,1,1,1,1,5,1,83
1,245,50,2,0,0,2,24,1,0,0,0,0,54,12,8,11,97,1,0,0,7,2,1,1,4,1,9,9,20,0,2,2,3,6,2,4,5,1,2,1,1,2,0,0,0,0,0,2,0,0,0,0,4,3,2,3,7,0,0,0,0,0,7,2,1,1,1,1,2,5,0,83
1,602,27,2,0,0,3,18,0,0,0,0,0,39,12,9,8,97,1,0,0,7,2,1,3,8,1,9,9,20,4,8,2,1,8,3,4,4,1,1,4,1,1,0,0,0,0,0,3,0,0,0,2,5,5,3,3,4,0,0,0,0,0,0,1,0,2,1,2,2,0,0,83
5,0,0,0,0,0,2,17,2,0,0,0,0,72,8,3,3,97,0,0,0,7,2,1,1,3,1,9,0,20,0,2,2,4,8,5,2,9,2,2,0,2,2,0,0,0,0,0,2,0,0,0,0,3,4,1,1,3,0,0,0,0,0,6,8,3,9,9,9,2,1,0,83
7,162,47,2,0,0,1,27,2,0,100,52,2,31,16,20,17,18,3,4,3,3,2,1,6,2,3,6,2,6,0,3,1,1,6,4,4,3,4,3,0,3,3,4,3,2,2,0,2,1,0,0,0,4,4,2,1,2,0,0,0,0,0,1,2,1,1,1,1,1,3,0,83
5,245,50,1,0,0,1,27,2,0,0,0,0,65,12,4,8,14,1,0,0,2,1,1,2,8,1,13,13,6,5,3,2,7,4,3,3,2,1,9,6,1,1,1,9,1,2,0,2,2,0,0,1,2,2,1,2,1,0,0,0,0,0,0,2,0,8,8,8,2,4,3,83
7,912,26,1,0,0,3,16,0,0,0,0,0,28,9,1,8,97,0,0,0,7,2,1,4,8,1,9,9,6,0,2,1,1,5,5,5,9,2,2,2,2,2,0,0,0,0,0,2,0,0,0,0,5,5,2,2,2,0,0,0,0,0,9,2,1,2,2,2,1,5,0,83
1,372,46,2,0,0,5,0,0,0,0,0,0,22,15,16,16,97,2,3,3,7,2,1,3,8,1,8,8,6,4,3,1,1,7,5,3,6,2,2,7,2,2,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,2,0,2,2,1,1,1,1,83
1,762,17,2,0,0,1,18,2,0,420,47,2,26,12,97,12,10,1,7,1,1,2,1,3,8,5,12,9,6,0,2,3,5,6,5,2,8,1,2,1,1,2,1,9,1,9,0,1,1,0,0,0,3,2,1,2,3,0,0,0,0,0,5,2,2,2,2,2,2,2,0,83
7,382,36,2,0,0,1,21,2,0,323,36,2,28,12,11,12,13,1,1,1,1,2,1,3,8,1,12,3,6,8,8,3,7,4,4,4,4,4,3,0,1,1,4,3,4,3,0,2,1,0,0,2,2,3,2,1,2,0,0,0,0,0,0,2,0,1,1,1,1,10,0,83
1,372,46,2,0,0,1,22,1,0,331,42,2,27,12,16,12,15,1,3,1,1,2,1,1,8,1,12,8,6,0,3,1,2,3,2,1,2,1,2,0,1,2,1,2,1,2,0,1,1,0,0,0,2,2,1,1,2,0,0,0,0,0,3,2,1,1,1,1,1,0,0,83
7,770,20,2,0,0,1,32,1,0,482,33,2,35,12,8,8,13,1,0,0,1,2,1,2,8,1,9,0,8,4,2,2,4,9,0,2,2,1,1,5,1,1,2,2,2,2,0,1,1,0,0,2,3,3,1,3,2,0,0,0,0,0,0,2,0,2,2,2,2,4,0,83
2,1,57,2,0,0,1,22,2,0,62,74,1,44,16,18,14,18,3,4,1,4,2,1,3,8,1,12,6,8,0,2,3,6,8,3,1,4,1,2,2,1,2,1,2,1,3,0,1,1,0,0,0,3,2,1,2,1,0,0,0,0,0,3,2,1,1,1,1,2,1,8,83
1,11,68,2,0,0,1,26,2,0,76,37,2,28,18,20,17,17,3,4,3,3,1,1,3,8,1,12,9,8,0,2,2,4,5,2,2,3,5,9,6,1,2,5,9,2,2,0,1,1,0,0,0,5,3,2,2,3,0,0,0,0,0,3,2,3,2,2,2,1,2,2,83
7,0,0,0,0,0,1,21,2,0,280,34,2,37,14,8,13,16,2,0,1,3,2,1,3,8,1,12,0,8,4,3,1,3,5,4,1,8,1,1,6,1,1,1,1,1,2,0,2,2,0,0,1,2,2,2,2,2,0,0,0,0,0,0,2,0,2,2,1,2,4,1,83
5,235,61,2,0,0,1,24,2,0,144,63,2,71,20,12,13,16,4,1,1,3,1,1,3,8,8,13,0,8,0,2,2,4,3,1,2,3,4,3,2,1,1,1,1,1,1,0,2,2,0,0,0,2,2,1,1,1,0,0,0,0,0,2,1,1,2,2,8,2,3,6,83
1,72,60,1,0,0,1,24,9,0,305,48,1,43,18,16,14,15,4,3,1,3,1,1,3,8,1,12,99,8,5,1,3,5,4,4,0,4,2,2,7,2,2,2,2,1,2,0,2,1,0,0,1,2,2,1,2,2,0,0,0,0,0,0,2,0,2,2,2,2,1,7,83
2,310,31,2,0,0,1,16,2,0,310,31,2,18,11,12,14,12,1,1,1,1,2,1,3,8,1,4,1,8,0,1,3,1,7,2,0,5,1,1,8,1,3,1,1,2,2,0,3,1,0,0,0,5,4,1,2,1,0,0,0,0,0,5,2,3,2,2,2,1,3,1,83
2,372,46,2,0,0,1,17,2,0,481,33,1,49,12,10,12,12,1,0,1,1,2,1,3,9,1,12,4,2,4,2,3,4,9,3,4,4,1,2,7,1,2,1,2,4,3,0,1,1,0,0,1,2,3,1,1,1,0,0,0,0,0,0,2,0,2,2,2,2,1,1,83
2,382,36,2,0,0,1,28,2,0,11,68,2,35,12,10,11,17,1,0,0,3,2,1,6,9,3,12,1,2,0,3,2,3,4,2,0,2,5,9,0,4,3,5,9,1,2,0,2,2,0,0,0,4,4,2,4,3,0,0,0,0,0,5,2,2,1,1,1,2,8,3,83
7,630,18,2,0,0,1,16,1,0,441,45,2,64,8,98,8,12,0,1,0,1,2,1,4,9,1,10,0,2,4,2,2,1,9,6,3,7,1,1,8,1,1,1,1,4,3,0,1,1,0,0,2,5,2,1,2,2,0,0,0,0,0,0,2,0,2,2,2,2,3,1,83
2,926,42,2,0,0,1,15,2,0,715,32,2,28,15,12,11,12,2,1,0,1,2,1,4,9,3,9,8,2,0,2,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,4,3,3,4,2,0,0,0,0,0,7,2,2,1,1,1,2,1,3,83
1,11,68,2,0,0,1,22,1,0,0,0,0,58,16,9,7,14,3,0,0,1,1,1,3,5,1,12,12,2,5,1,3,6,8,9,1,7,1,1,1,1,1,1,3,1,3,0,2,2,0,0,2,3,4,2,2,2,0,0,0,0,0,0,1,0,2,2,1,2,1,3,83
1,222,61,2,0,0,3,20,0,0,0,0,0,29,14,12,14,97,2,1,1,7,2,1,5,9,1,10,9,2,6,1,2,7,7,7,2,8,4,3,1,2,2,0,0,0,0,0,1,0,0,0,2,3,1,1,1,1,0,0,0,0,0,0,2,0,1,1,1,3,2,1,83
1,715,32,2,0,0,1,17,1,0,372,46,2,31,12,8,12,12,1,0,1,1,1,1,3,9,3,12,11,2,0,1,2,8,9,2,1,2,1,2,5,1,2,1,2,1,2,0,2,1,0,0,0,2,3,1,1,2,0,0,0,0,0,5,1,3,2,2,2,1,1,0,83
1,801,41,1,0,0,1,17,1,0,925,36,2,33,13,12,97,13,1,1,7,1,1,1,2,9,4,12,9,3,0,3,3,7,6,0,3,2,1,2,2,1,2,1,2,1,2,0,2,1,0,0,0,4,3,1,2,1,0,0,0,0,0,5,1,2,1,1,1,2,3,2,83
7,0,0,0,0,0,1,15,2,0,822,18,2,43,10,98,16,8,0,8,1,0,2,1,3,9,1,11,0,3,0,2,2,4,9,9,0,9,1,1,1,1,1,1,1,1,1,0,2,2,0,0,0,4,1,1,4,1,0,0,0,0,0,5,2,4,2,2,2,2,4,0,83
2,822,18,2,0,0,1,18,2,0,0,0,0,32,98,98,2,98,0,0,0,0,1,1,1,0,1,7,5,3,8,3,1,2,2,4,4,2,2,2,6,2,2,2,2,2,2,0,2,2,0,0,1,6,7,5,5,5,0,0,0,0,0,0,8,0,2,2,2,3,2,0,83
1,222,61,2,0,0,1,24,2,0,0,0,0,56,19,19,12,14,4,4,1,1,1,1,6,9,1,12,12,3,5,3,3,7,5,5,1,6,2,2,7,2,2,2,2,2,2,0,2,1,0,0,1,4,2,1,2,2,0,0,0,0,0,0,1,0,2,2,2,2,1,9,83
5,963,46,2,0,0,1,21,2,0,310,31,2,66,14,16,8,14,1,1,0,2,1,1,3,9,1,8,0,3,4,3,3,3,2,2,2,3,2,2,0,2,2,2,2,1,3,0,2,1,0,0,1,4,2,3,3,1,0,0,0,0,0,0,2,0,2,2,2,2,1,1,83
7,0,0,0,0,0,2,19,2,0,0,0,0,76,14,8,11,97,1,0,0,7,2,1,2,2,1,9,0,3,0,1,3,6,9,9,1,8,1,3,3,1,3,0,0,0,0,0,2,0,0,0,0,4,3,2,2,3,0,0,0,0,0,2,1,4,2,1,1,2,6,4,83
7,384,44,2,0,0,1,23,2,0,801,41,1,57,12,3,0,12,1,0,0,1,2,1,2,9,1,13,0,3,0,2,3,3,9,7,1,8,2,2,7,2,2,2,2,1,2,0,2,2,0,0,0,3,2,2,2,2,0,0,0,0,0,7,2,2,2,8,8,2,4,1,83
1,522,41,2,0,0,1,20,2,0,0,0,0,30,12,10,10,12,1,0,0,1,1,1,3,3,3,12,0,1,4,2,3,4,9,3,4,4,1,2,0,4,3,2,2,1,1,0,1,1,0,0,1,3,2,1,2,2,0,0,0,0,0,0,2,0,1,1,2,2,1,3,83
2,912,26,2,0,0,5,0,0,0,0,0,0,22,13,12,12,97,1,1,1,7,1,1,1,3,1,11,6,1,3,1,3,3,5,3,2,4,2,2,6,2,2,0,0,0,0,0,2,0,0,0,2,3,4,4,2,3,0,0,0,0,0,0,2,0,2,2,2,1,3,0,83
