wrkstat,occ,prestige,wrkslf,occ80,prestg80,marital,agewed,divorce,widowed,spocc,sppres,spwrkslf,age,educ,paeduc,maeduc,speduc,degree,padeg,madeg,spdeg,sex,race,res16,reg16,family16,income,rincome,size,polviews,natarms,natfare,eqwlth,russia,japan,england,china,relig,fund,attend,relig16,fund16,sprel,spfund,sprel16,spfund16,racseg,happy,hapmar,health,life,trust,satcity,sathobby,satfam,satfrnd,sathealt,jobinc,jobsec,jobhour,jobpromo,jobmeans,rank,fepol,fecare,abnomore,abpoor,absingle,chldmore,tvhours,memnum,year
2,305,48,9,0,0,1,23,2,0,245,50,1,35,14,12,12,19,1,1,1,4,2,1,4,1,1,12,2,109,0,3,3,4,4,2,2,1,2,2,7,2,2,2,2,2,2,0,1,1,0,0,0,3,2,2,2,2,0,0,0,0,0,4,1,2,1,1,1,2,3,3,83
1,301,50,2,0,0,2,23,2,0,0,0,0,56,17,8,12,97,4,0,1,7,2,1,3,2,1,11,9,109,6,3,1,2,3,2,1,5,1,3,4,1,3,0,0,0,0,0,2,0,0,0,2,3,4,2,2,4,0,0,0,0,0,0,2,0,1,1,1,2,2,4,83
7,926,42,2,0,0,1,16,1,0,245,50,1,37,12,12,12,14,1,1,1,1,2,1,6,2,1,12,0,17,0,2,3,7,5,4,1,6,2,2,5,2,2,1,2,1,2,0,2,1,0,0,0,2,2,2,2,4,0,0,0,0,0,5,2,3,1,1,1,2,1,4,83
6,142,60,2,0,0,3,21,0,0,0,0,0,40,18,16,16,97,3,3,3,7,2,1,6,9,1,12,0,17,5,2,3,4,9,0,1,9,1,3,2,1,2,0,0,0,0,0,1,0,0,0,1,5,3,1,2,2,0,0,0,0,0,0,2,0,1,1,1,2,0,3,83
1,245,50,1,0,0,5,0,0,0,0,0,0,63,12,97,12,97,1,7,8,7,2,1,6,2,5,10,0,17,0,2,2,6,4,2,1,2,2,2,8,2,2,0,0,0,0,0,1,0,0,0,0,2,2,2,2,2,0,0,0,0,0,1,1,3,2,2,2,2,4,0,83
1,245,50,2,0,0,1,22,2,0,194,51,2,61,16,12,98,14,3,1,8,1,1,1,5,5,1,12,12,17,4,3,2,8,6,1,0,4,1,3,7,1,1,1,3,1,3,0,2,1,0,0,1,2,2,1,3,2,0,0,0,0,0,0,2,0,1,1,1,2,0,2,83
7,202,72,2,0,0,1,30,2,0,202,72,2,44,16,16,16,12,3,3,3,1,2,1,5,2,1,12,0,17,0,1,3,6,8,3,2,4,1,3,2,1,3,1,2,1,2,0,2,2,0,0,0,2,2,2,2,3,0,0,0,0,0,2,1,2,1,1,1,2,2,7,83
7,305,48,2,0,0,1,21,1,0,233,50,2,28,14,12,10,15,1,8,0,1,2,1,6,5,1,12,9,7895,0,1,2,1,9,8,2,7,3,3,2,3,3,2,2,2,2,0,2,2,0,0,0,4,4,3,1,6,0,0,0,0,0,6,2,2,1,1,1,3,4,0,83
1,372,46,2,0,0,1,34,2,0,903,16,2,56,16,98,98,12,3,8,8,1,2,1,6,2,1,13,13,7895,0,2,3,5,-1,-1,-1,-1,2,2,7,2,2,2,2,2,2,0,2,2,0,0,0,3,2,3,5,6,0,0,0,0,0,7,9,2,9,9,9,2,2,1,83
4,962,22,2,0,0,5,0,0,0,0,0,0,20,12,7,98,97,1,0,0,7,1,1,6,2,1,98,0,7895,0,3,1,1,8,4,2,7,5,9,1,5,9,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,0,0,0,0,0,6,1,2,1,1,2,1,0,1,83
